title	plot	Action	Adult	Adventure	Animation	Biography	Comedy	Crime	Documentary	Drama	Family	Fantasy	Game-Show	History	Horror	Music	Musical	Mystery	News	Reality-TV	Romance	Sci-Fi	Short	Sport	Talk-Show	Thriller	War	Western
"""$#*! My Dad Says"" (2010) {Easy, Writer (#1.6)}"	 Henry goes to a job interview and when he gives some of his ideas the man interviewing him doesn't like them. Then Ed calls while the interview is going on and hearing the conversation Henry is having with his father and learning that Henry had to go live with his father after losing his job, the man interviewing Henry thinks it could be a good article. When Ed learns what Henry is doing he wants him to quash it because he doesn't want to be ridiculed but Henry says he already turned it in. Vince and Bonnie befriend another Realtor couple who are suppose to be the best but they regret it.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""$#*! My Dad Says"" (2010) {Make a Wish (#1.9)}"	 A life coach whose motto is Want it, see it happen, or as she calls it WISH. Ed thinks she's trying to pull a fast one especially when Vince and Bonnie attend one of her seminars and they decide to quit their jobs so that they could start their own Realtor business. Problem is how do they start. Ed learns that Henry is going to her seminar to write an article. He goes there and the woman pulls Ed to talk and Ed is skeptical but she thinks she can convince him she's real and WISHing works.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""$#*! My Dad Says"" (2010) {The Better Father (#1.13)}"	 Vince and Bonnie learn their marriage is not legal so they plan to get married again. Bonnie asks her dad to come. But Ed is not keen on it because during their last wedding, instead of being at the wedding, her father was gambling and when he fell in the hole, Ed was the one who had to bail him out. But Bonnie says he's changed but Ed doesn't believe it.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""$#*! My Dad Says"" (2010) {The Truth About Dads & Moms (#1.3)}"	 When Ed and Henry go out to a restaurant, the waiter claims that Ed got him fired from his last job and refuses to serve him until he apologizes. Henry takes the man's side. Ed refuses. Later Ed tries to go incognito but the man still recognizes him and still refuses to serve him. The manager upon seeing the situation, sides with Ed and fires the man. When Henry learns what happened he tells Ed this is typical behavior. When Ed asks what he's talking about. Henry says he never apologized to his mother for his cheating.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""$#*! My Dad Says"" (2010) {Who's Your Daddy? (#1.18)}"	" A girl contacts Henry saying she likes his column so they go out. When she meets Ed, she says things that Ed finds peculiar, which makes Ed wonder if he has some ties to her. Vince and Bonnie go on a reality show hoping it will help their business. Ed's status changes to ""confused"" when he meets Henry's new Facebook girlfriend and senses a strange connection to her. Also, Bonnie and Vince join a reality television series when they help a reality star go house hunting."	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""$100,000 Name That Tune"" (1984)"	" An updated version of the popular long-running quiz show, hosted by Jim Lange. Two contestants compete to see who has the greater knowledge of popular songs. As the music plays, the first contestant to name the song wins money and prizes. Additional challenges include the contestants 'bidding' on how few notes they need in order to name that tune. Two contestants competed in a series of musical identification games in this 1980s five-day-a-week update of ""Name That Tune."" Games included Melody Roulette, where host Lange spun a carnival wheel to determine the dollar value of the tune; Tune Topics, where each song's title was related; and the famous Bid-a-Note, where contestants were given the clue to a song and then bid downward against each other to determine how few notes they needed (""I can name that tune in three notes!""). Contestants won points for winning each round; the high scorer after three rounds was champion and moved on to the ""Golden Medley. In the ""Golden Medley,"" the champion had to identify seven tunes within 30 seconds. Prizes were awarded for each correct answer. An incorrect guess stopped the game, while naming all seven tunes won an additional prize package and the right to return for a tournament (which took place every eight weeks or so) for $100,000 in cash and prizes. Some of the prizes offered for the tournament winners were awarded individually to winners in a home- viewer contest."	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"""$25 Million Dollar Hoax"" (2004)"	 A three-episode reality series. A woman has to convince her family that she has won the lottery and that the money has turned her from a nice girl into a selfish shopaholic. If the prank is successful, the family really will win a large prize. If she fails, her and her family get nothing.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"""$9.99"" (2003)"	 Can you have fun in New York City on $9.99? Before you say fuhgetaboutit, let $9.99 hosts Julie Laipply, Brian McMullan, Maryam Basir and Rich Collier show you inexpensive and free things to do in the five boroughs. Every episode of $9.99 is a whirlwind tour of New York City's unique neighborhoods. Visit parks, museums, restaurants, galleries and a whole host of interesting attractions that cost little or no money. Each show reveals eight to ten adventures with a combined cost that never tops $9.99. Whether you're watching from new York, New Jersey or Connecticut, satellite or cable, don't miss out on the next adventure for only $9.99!	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""$weepstake$"" (1979) {(#1.1)}"	 This week's ticker buyers are a man who just got out of jail and is on probation needs to try and find a legitimate job, a woman who's separated from her husband who has a girlfriend and a dog whose owner's relatives try to get a piece of what he wins.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"""'Allo 'Allo!"" (1982) {A Bun in the Oven (#8.0)}"	 Two years have elapsed and it is now September 1943. The airmen have escaped to England and Bertorelli and the Italian troops have withdrawn. Rene's hopes for peace and quiet are, however, dashed as Yvette announces her pregnancy. With the war now seeming to turn against Germany, Von Klinkerhoffen considers assassinating Hitler. Gruber and Von Strohm hope to sell the original painting, sell it and flee to Spain so they get Helga to steal it. To ensure her cut when the sale goes ahead she 'removes' one of the Fallen Madonna's boobies as her insurance.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {A Fistful of Francs (#8.6)}"	 Colonel Von Strohm and Gruber agree to pay the ransom the Resistance ordered them to pay via a dogfish. They put the ten million francs in the dogfish and go to the river where the dogfish is to be exchanged for the incriminating photo. The dogfish however doesn't end up in the hands of the Resistance and the colonel and Gruber still don't have the photo. Meanwhile, general Von Klinkerhoffen has ordered Gruber and Colonel Von Strohm to dress up as Hitler and Göring pretending to leave town because he plans to catch any Resistance group that tries to attack them.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {A Quiet Honeymoon (#7.1)}"	 Now that General Von Klinkerhoffen is in the hospital, General Von Flockenstuffen is in command. He wants to redecorate Von Strohm's office and doesn't make himself very popular with Von Strohm, Helga and Bertorelli. Gruber however, likes him and gets to help in the redecoration. Meanwhile, madame Fanny and Ernest Leclerc have been arrested for stealing a motor bike and smashing through a German road block. Herr Flick thinks the old couple might have information about the British airmen and orders Von Smallhausen to commit a minor crime so he can be arrested and put in a cell with them in order to find out what they know.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {A Woman Never Lies (#8.2)}"	 Michelle sets out to blackmail Gruber, having discovered him with the photo of the painting, so he and Von Strohm hold up the German pay truck for the hush money. Flick finds out from Helga, to whom he has given a truth drug, but he and Von Smallhausen arrive too late to prevent the robbery and are arrested by Von Klinkerhoffen as the perpetrators. Rene, meanwhile, makes his first propaganda broadcast.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {An Almighty Bang (#7.2)}"	 Edith and Rene manage to free Madame Fanny and LeClerc and hide them in a folding bed in the wall upstairs at the cafe. However they become literally embedded in the wall as the bed gets stuck and Alphonse decides to use dynamite to shift it. This is a total success but it also blows up the two Gestapo officers who have come to interrogate the old couple. Gruber however comes in to say they have been pardoned. Von Fluckenstuffen's plan to kidnap Hitler does not go down well with the other officers when they learn that they are to be part of his suicide squad. However Von Fluckenstuffen gets drunk and demands to inspect Rene's cellar,accusing him of keeping back his best wines. To guide his way he lights a candle,in reality a stick of dynamite which explodes,giving him a nervous breakdown. Thus he changes places with Von Klinkerhoffen in the 'fruitcake ward' and Rene is to be recommended for a medal.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Awful Wedded Wife (#8.4)}"	 Gruber is worried about the compromising photo of him with the painting of the Fallen Madonna with the big boobies the Resistance has and, with the colonel, decides to make a down payment on the ransom they demanded. Helga is still trying to rescue Herr Flick and Von Smallhausen using yet another disguise. Meanwhile, lead is needed for the battery of the mobile radio station and Yvette, Mimi, officer Crabtree and monsieur Alphonse go to the church in disguise to steal some lead from the roof. Gruber and the colonel have to play Hitler and Göring once more and end up being captured by the communist Resistance.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Christmas Puddings (#5.19)}"	 The resistance has found out that the Germans are planning to commandeer the pudding factory where the resistance had hidden the 1,000 kilo of explosives from the land mines. Because they don't want the Germans to have the explosives, the 1,000 kilo will be brought to Café René, disguised as 500 Christmas puddings. Meanwhile, General Von Klinkerhoffen has ordered colonel Von Strohm and Gruber to find the stolen land mines and Herr Flick and Von Smallhausen (both in disguise) try to spy on the back room of Café René from the local church.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Criminal Developments (#5.3)}"	 Rene manages to photograph the safe,which is in Gruber's room and which LeClerc believes he can blow open. Alphonse tells Edith of Rene's affair with Yvette but she believes his denial. Von Klinkerhoffen takes a fancy to Helga and they have a private dinner in his room. Flick and Von Smallhausen,posing as gypsy violinists,serenade them in order to learn whether the general intends to kill Hitler. Smoke bombs are to be dropped down Gruber's chimney,causing a diversion which will allow Rene and LeClerc to come in and open the safe. By mistake the smoke bombs are thrown down the general's chimney instead and he calls the fire brigade.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Desperate Doings in the Graveyard (#6.1)}"	 While René is preparing to visit the empty grave of his fake dead twin brother, he is told by Michelle when to go because the Resistance is building a communication center in the grave to be able to contact London since the Germans jam the original radio station. Gruber, still not over the fact that it was he who shot René's twin brother, decides, after finding out René is going to the grave, to also go the grave, along with Helga. Meanwhile, Herr Flick and Von Smallhausen have a plan to find the headquarters of the Resistance: They will disguise themselves as shot-down British airmen and expect to be taken to the headquarters without any trouble. Madame Fanny has found a new love in Ernest Leclerc, brother of Roger Leclerc.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Enigma's End (#5.26)}"	 General Von Klinkerhoffen orders that René is to be shot if the Enigma machine isn't found. Because he thinks he might warn René, colonel Von Strohm orders Gruber to take of his uniform so he won't leave Von Strohm's office. Nevertheless, Gruber takes Helga's uniform and goes to René. Meanwhile, British Intelligence and the Resistance have thought up a plan to get two experts to Nouvion to look at the Enigma machine. They will be disguised as policemen.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Feathers (#5.17)}"	 Herr Flick tells Helga the stolen Gestapo money was false. When she tells this to the colonel he tells Bertorelli to get it back to René. What Bertorelli doesn't know is that Von Strohm anonymously called Herr Flick to say a man with feathers on his hat has the stolen money and is on his way to Cafe René. Michelle has a new plan to get the British airmen back to England; they'll be put in two emptied land mines and dropped over England. They then need to 'unscrew their nuts' and land safely using their parachutes. The parachutes will be brought by monsieur Leclerq, who'll be disguised as a pillow-stuffer. Meanwhile, the communist girls leave Cafe René.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Firing Squashed (#8.5)}"	 Gruber and the colonel are still disguised as Hitler and Göring and are still being hold by the Communist Resistance. Michelle finds out about this and (because she, like the communists, doesn't know it are not really Hitler and Göring) decides to kidnap them so the French Resistance will get the honor of ending the war. Meanwhile, Herr Flick and Von Smallhausen are about to face the firing squad for robbing the German pay truck.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Flight of Fancy (#3.4)}"	 Rene has successfully got the painting back so Michelle concentrates on her plan to get the airmen away in the ancient aeroplane. It is to be drawn by a car and catapulted into the air,requiring Rene to steal 800 metres of men's braces,which he does under the guise of his Brotherhood of the Night-Owl. Flick and Helga,aware that something may be afoot,turn up in his staff car but it is flattened by a runaway steam-roller so they miss seeing the failed escape when the plane fails to take off and Rene is flung through the air.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Good Staff Are Hard to Find (#4.3)}"	 To replace Maria,Michelle brings in Mimi Labonq,who is very tiny but very tenacious and vows to be Rene's bodyguard. She is also very fanatical and Rene has to stop her from poisoning Flick. A new radio is also brought to the cafe by Roger LeClerc but this coincides with the arrival of Geering's replacement,the Italian Captain Bertorelli. He too almost falls victim to Mimi when he misunderstands her invitation to go upstairs and look at some paintings.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Herr Flick's Revenge (#2.6)}"	 Michelle saves René's skin and his reputation by telling Alphonse that he is an heroic member of the Resistance. Alphonse thus has too much respect for him to kill him. However Rene is in drag, which gets him more attention from Gruber. Flick has imprisoned Von Strahm and Geering and also captures Rene, planning to torture them to reveal what happened to the painting. Fortunately Von Klinkerhoffen stops him as he has more influential connections than Flick in the German high command. The airmen are taken to the balloon dressed as mourners in a fake funeral for Madame Fanny who has allegedly died of the plague.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Leclerc Against the Wall (#5.18)}"	 Herr Flick has arrested monsieur Leclerc because he thinks he has the stolen money. When it turns out he hasn't got the money, Herr Flick announces Leclerc will be shot if the money won't be returned. Unfortunately, Madame Fanny has burned the money - that was kept in the oven - when trying to cook a potato, which actually was the spy camera that was to be used to photograph the invasion of England plans. Meanwhile, Von Strohm has found out about the two missing land mines and tells Gruber to talk to René, in case he might know anything about them.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Michelle's Secret Love (#5.10)}"	 General Von Klinkerhoffen asks Von Strohm and Gruber who knew about the meeting of the generals where someone tried to poison them. When Von Strohm tells him René knew about it, Von Klinkerhoffen tells them to catch and execute René. Herr Flick however, thinks the big-nosed French collaborating general had something to do with the plot to poison the generals and tries to find him. Meanwhile, René wants to quit the resistance and gets several disguises he can use to avoid being caught.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Missing and Presumed Dead (#9.2)}"	 René is kept by the communist Resistance as a love slave in their underground hide-out in the forest. Meanwhile, everybody thinks René has died in the windmill explosion. Everybody is very saddened and officer Crabtree comes up with the idea to erect a statue in memory of René. The colonel and Gruber, when visiting the café to find out where the painting is and express their sympathy, agree to pay for the statue. Meanwhile, Herr Flick takes of the bandages and reveals his new face while René tries to escape from the Resistance.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Parade of Prams (#5.12)}"	 Because Berlin blames him for the cock-up concerning the meeting of the German generals, general Von Klinkerhoffen decides to send colonel Von Strohm and Gruber to the Russian front. Von Strohm and Gruber want to flee to the Vatican and hide out there until the war is over. For this, they need to sell the paintings that are hidden in the headquarters of the Communist Resistance. They tell René to get the paintings. When Michelle of the resistance hears of this, she tells René to get the paintings, give copies to the colonel and Gruber and sell the originals for the resistance funds.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Pretty Maids All in a Row (#3.5)}"	 The airmen are disguised as waitresses at the cafe.However,Von Klinkerhoffen recognizes a Van Gogh,behind which Rene has hidden The Fallen Madonna,and he requisitions it to be taken to the chateau,along with the two 'waitresses'. To thwart this an elaborate pantomime is staged,whereby the two men dress as tarts out to seduce Rene.A supposedly enraged Edith then 'shoots' them with a gun loaded with blanks. The 'corpses' are taken to Alphonse's funeral parlour under which a tunnel has been dug,connecting to the prisoner-of-war camp across the road,in which it is planned to hide the two fugitives.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Prisoners of War (#4.1)}"	 Whilst the suspicious Flick and his henchman Von Smallhausen dig their own tunnel into the camp,the prisoners are planning a mass escape. Von Strohm volunteers Geering as the first to go and he is catapulted over the wire and spirited away into the woods by the Resistance. Gruber dresses as a nun in order to get into the camp to free the others but they take advantage of an entertainment about to be staged and dress up as dancing girls.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"""'Allo 'Allo!"" (1982) {Renewing the Vows (#5.24)}"	 Monsieur Alphonse has asked Edith to marry him. When René hears about this and figures he'll lose the café and everything in it (notably the gold in the cuckoo's clock), he decides to ask Edith to marry him and she says yes. Bertorelli will cook a great feast and monsieur Alphonse, being the deputy mayor, will marry them. Meanwhile, general Von Klinkerhoffen suspects colonel Von Strohm of stealing his gold while Herr Flick thinks it was René who took the gold. Herr Flick tells Helga to use her feminine charm to elicit the whereabouts of the gold from René.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
